City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Yellowknife,CA,2021-06-15 17:53:51,62.456,-114.3525,70.32,52,40,11.5
67,Simpang,ID,2021-06-15 17:53:51,-1.2667,104.0833,75.13,93,21,1.39
68,Hermanus,ZA,2021-06-15 17:53:52,-34.4187,19.2345,59.9,86,68,5.28
69,Albany,US,2021-06-15 17:50:18,42.6001,-73.9662,74.08,68,52,8.32
70,Nouadhibou,MR,2021-06-15 17:53:52,20.931,-17.0347,73.38,68,93,24.16
71,Bengkulu,ID,2021-06-15 17:53:52,-3.8004,102.2655,76.53,91,99,4.99
72,Pangnirtung,CA,2021-06-15 17:53:53,66.1451,-65.7125,37.4,87,20,17.27
73,Avarua,CK,2021-06-15 17:53:53,-21.2078,-159.775,73.45,88,75,14.97
74,Weiser,US,2021-06-15 17:53:53,44.251,-116.9693,80.02,44,1,8.05
75,Manavalakurichi,IN,2021-06-15 17:53:54,8.1333,77.3,82.49,83,97,15.52
76,Koluszki,PL,2021-06-15 17:53:54,51.7387,19.8199,73.02,78,100,7.23
77,Nikolskoye,RU,2021-06-15 17:53:54,59.7035,30.7861,62.49,60,84,6.82
78,Pacific Grove,US,2021-06-15 17:49:00,36.6177,-121.9166,75.94,68,1,5.01
79,Faanui,PF,2021-06-15 17:53:55,-16.4833,-151.75,81.68,71,70,22.41
80,Flinders,AU,2021-06-15 17:53:55,-34.5833,150.8552,49.37,89,2,5.35
81,Vostok,RU,2021-06-15 17:49:45,46.4856,135.8833,51.76,96,2,3.36
82,Masuguru,TZ,2021-06-15 17:53:56,-11.3667,38.4167,71.04,48,24,2.86
83,Katobu,ID,2021-06-15 17:53:56,-4.9408,122.5276,73.36,94,35,2.35
84,Laguna,US,2021-06-15 17:53:56,38.421,-121.4238,82.87,40,1,1.99
85,Tuktoyaktuk,CA,2021-06-15 17:52:04,69.4541,-133.0374,60.8,51,20,16.11
86,Meulaboh,ID,2021-06-15 17:53:57,4.1363,96.1285,78.67,83,96,3.96
